Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Balrampur Chini Mills,461.75,0.61%,460,"1,65,587","9,268.20",22.17,18.94,627.8,419.05,-0.68%,-19.06%,-24.22%,36.67%,205.79%,2.44,0.65%,15.72%,14.34%,26.33,499.63,531.43,39.59,60.00%,80.00%
Latent View Analytics,474.9,5.92%,450,"32,02,056","9,263.00",48.74,19.14,520.25,341.2,14.24%,16.23%,4.35%,21.66%,-2.83%,5.7,-,11.54%,14.21%,8.01,423.34,411.97,73.63,68.80%,80.00%
Mamaearth,279.15,-1.81%,285.5,"2,61,631","9,250.30",125.31,42.65,403,197.51,-4.42%,5.18%,-28.51%,-17.19%,-17.19%,7.84,-,10.09%,7.86%,3.89,291.22,266.84,46.04,50.00%,70.00%
Apollo Micro Systems,278.25,0.52%,278.5,"42,29,183","9,232.20",142.05,44.1,354.7,90.25,-18.82%,61.00%,178.67%,1130.65%,2693.67%,9.9,0.08%,4.88%,16.16%,1.24,301.53,187.16,39.19,51.00%,70.00%
Jeena Sikho Lifecare,772.45,4.10%,742,"1,87,015","9,223.10",273.46,42.65,"2,498.60",400.25,-1.49%,39.70%,-54.56%,447.45%,345.60%,73.49,0.15%,-,35.59%,-,764.03,521.55,56.06,-,60.00%
Transport Corporation of India,"1,200.80",0.01%,"1,200.00","12,850","9,209.10",21.42,25.16,"1,309.00",876,-1.29%,2.93%,2.02%,77.42%,431.33%,3.92,0.65%,17.40%,19.86%,46.44,"1,182.01","1,117.52",52.34,50.00%,-
Sapphire Foods,286.4,0.12%,283,"4,09,980","9,193.20","28,605.00",324.15,374.65,271.4,-2.49%,-9.67%,-8.47%,-1.57%,18.20%,6.6,-,3.88%,5.22%,5.71,305.53,313.92,44.88,60.00%,75.00%
TTK Prestige,678.7,1.33%,672.95,"86,758","9,172.90",89.4,63.33,922.5,582.45,5.40%,7.60%,-22.16%,-25.46%,19.06%,4.88,0.88%,10.79%,9.25%,16.03,657.89,652.64,57.35,71.62%,60.00%
Medplus Health Services,820.05,7.50%,787,"96,74,268","9,140.70",51.3,42.65,"1,045.30",642,9.83%,-10.81%,22.33%,38.83%,-26.86%,5.25,-,3.36%,10.27%,6.36,797.84,812.42,66.22,50.00%,60.00%
Birla Corporation,"1,185.50",0.57%,"1,177.10","62,181","9,077.40",23.71,36.01,"1,535.30",910.25,-1.79%,-8.72%,0.88%,22.61%,85.52%,1.51,0.85%,6.30%,6.05%,50.47,"1,237.41","1,218.20",43.48,67.88%,-
Sudarshan Chemical Industries,"1,148.60",-0.10%,"1,149.60","88,072","9,037.00",105.49,-63.79,"1,603.00",796.15,-14.09%,-20.68%,14.74%,181.45%,161.13%,2.65,0.39%,31.11%,2.16%,17.32,"1,351.85","1,176.89",19.78,50.00%,75.00%
Black Box,553.5,4.31%,532.95,"40,95,066","9,020.40",41.88,19.14,714.8,320.85,-0.96%,7.68%,10.11%,258.48%,356.53%,12.91,0.19%,-,20.85%,-,509.1,478.73,54.68,-,-
Sri Lotus Developers & Realty,177.17,-2.77%,182,"12,96,002","8,905.50",39.11,-6.34,218.49,173.5,-6.79%,-9.45%,-9.45%,-9.45%,-9.45%,5.16,-,-,31.18%,-,185.55,-,37.87,-,70.00%
Reliance Infrastructure,205.16,-5.00%,210,"11,06,455","8,824.80",0.92,22.37,423.4,198.13,-17.80%,-30.72%,-30.83%,46.39%,946.73%,0.63,-,-,28.82%,-,249.98,282.36,29.02,-,-
VA Tech Wabag,"1,409.50",-0.33%,"1,414.10","85,323","8,803.60",28.81,22.37,"1,944.00","1,114.00",0.21%,-9.55%,-18.44%,428.10%,676.16%,4.12,0.28%,13.73%,16.87%,40.28,"1,472.98","1,457.18",42.43,63.43%,80.00%
PN Gadgil Jewellers,659.9,1.88%,649,"1,97,392","8,789.80",34.89,39.24,830,473.8,4.96%,15.09%,-7.39%,-16.82%,-16.82%,5.66,-,-,20.25%,-,623.56,576.07,55.06,50.00%,70.00%
Saregama India,456.15,0.27%,457.1,"38,349","8,770.90",43.07,12.08,603.8,417.4,-3.54%,-3.18%,-14.94%,19.38%,617.10%,5.96,0.99%,13.42%,16.81%,9.9,474.39,503.36,43.23,65.34%,80.00%
Religare Enterprises,266.4,0.93%,264.95,"7,43,895","8,727.70",53.08,10.51,320,202.52,5.74%,2.23%,8.69%,51.97%,423.89%,3.48,-,118.34%,7.94%,0.35,254.35,242.41,59.02,50.00%,60.00%
Lloyds Enterprises,69.74,1.74%,68.98,"6,44,333","8,720.40",24.53,42.65,88.16,34.09,0.98%,-8.91%,62.45%,41.17%,41.17%,3.55,0.13%,-,5.32%,-,69.12,59.46,53.32,50.00%,60.00%
WeWork India Management,647.7,0.34%,648,"9,48,918","8,651.20",67.47,25.16,655,601.1,3.03%,3.03%,3.03%,3.03%,3.03%,43.29,-,-,11.08%,-,-,-,59.8,-,75.00%
Alok Industries,17.33,-0.52%,17.45,"25,32,787","8,649.40",-12.72,53.68,24.56,14.01,-2.75%,-8.65%,-21.58%,5.99%,-18.06%,-0.41,-,4.28%,-3.59%,-,17.85,18.15,44.3,50.00%,60.00%
Jai Balaji Industries,94.67,0.18%,94.02,"4,12,520","8,620.80",20.65,25.76,220,92.15,-5.66%,-14.88%,-54.92%,1039.23%,3034.77%,4.08,-,-,36.05%,-,98.74,118.82,43.47,50.00%,60.00%
Strides Pharma Science,984.8,5.36%,934.4,"52,10,098","8,615.40",20.89,54.8,"1,655.00",513.05,18.32%,17.48%,-36.90%,209.54%,50.49%,3.13,0.43%,-,21.28%,-,854.81,762.17,77.19,50.00%,75.00%
Borosil Renewables,665.2,3.36%,643,"5,73,588","8,571.80",-103.66,25.44,689.95,423.75,6.39%,8.44%,50.11%,15.60%,593.28%,6.85,-,-,-3.59%,-,602.45,554.1,58.66,50.00%,-
Campus Activewear,280.1,0.09%,278.25,"2,51,905","8,548.60",65.35,30.61,337.6,210,1.50%,5.78%,-3.48%,-49.74%,-26.08%,19.93,-,25.20%,32.89%,4.97,274.75,268.56,52.61,60.00%,75.00%
KRBL,379.9,1.78%,377,"3,64,917","8,543.30",15.82,20.33,495,241.25,9.01%,-,35.87%,-0.99%,54.49%,1.63,0.94%,14.94%,12.15%,21.31,398.52,346.06,50.64,68.19%,80.00%
V2 Retail,"2,495.60",2.19%,"2,519.80","3,67,123","8,446.70",105.45,47.97,"2,465.00","1,082.80",12.27%,48.62%,118.65%,2284.71%,5307.58%,24.47,-,-,15.86%,-,"2,004.99","1,841.43",71.01,0.00%,-
GMR Power & Urban Infra,118.13,0.76%,117.22,"7,29,297","8,380.70",45.82,22.37,141.01,89.36,1.86%,5.43%,5.11%,382.16%,159.06%,16.15,-,-41.56%,31.30%,-,116.45,113.59,52.36,50.00%,70.00%
Arvind,320.1,0.41%,317.25,"1,29,777","8,356.20",22.09,23.33,450,274.8,6.58%,1.33%,-11.67%,249.64%,861.26%,2.21,1.17%,9.74%,14.35%,11.81,305.72,336.47,57.35,65.44%,80.00%
Manorama Industries,"1,378.90",-0.88%,"1,386.10","51,094","8,306.10",48.68,20.33,"1,760.00",740.5,-8.10%,-5.27%,40.39%,483.07%,572.08%,18.08,0.04%,11.90%,36.35%,7.06,"1,414.51","1,286.50",40.92,50.00%,70.00%
Oswal Pumps,720.85,-0.70%,725.9,"1,43,325","8,273.60",27.17,56.72,888.4,614.25,-4.30%,-3.73%,15.27%,15.27%,15.27%,6.12,-,-,81.49%,-,776.06,-,40.79,-,70.00%
Marksans Pharma,190.38,4.56%,180.51,"36,37,112","8,253.50",23.45,26.33,358.7,162,14.32%,-15.88%,-33.64%,284.99%,265.06%,3.34,0.44%,15.03%,18.67%,7.37,174.42,218.82,66.51,62.14%,80.00%
Rashtriya Chemicals & Fertilizers,152.01,1.83%,149.19,"14,80,057","8,235.60",28.76,34.91,188.89,110.8,1.94%,1.24%,-3.83%,50.28%,246.26%,1.74,0.88%,21.05%,9.29%,2.85,151.06,146.82,56.15,63.97%,80.00%
Mahindra Lifespaces Developers -RE,405.3,5.05%,392.5,"11,85,984","8,228.30",82.41,-6.34,487.21,256.06,10.33%,11.90%,-8.94%,8.31%,393.25%,2.43,0.53%,5.25%,3.18%,7.43,369.28,342.86,69.44,50.00%,70.00%
Mrs. Bectors Food,"1,327.00",-0.93%,"1,339.90","31,816","8,224.30",59.29,20.33,"1,976.70","1,211.50",8.43%,-9.30%,-27.41%,247.11%,123.33%,7.05,0.45%,16.55%,15.79%,23.96,"1,339.91","1,430.59",49.19,50.00%,75.00%
Archean Chemical Industries,659.5,-0.31%,668,"1,63,471","8,165.40",52.19,25.14,730,408.35,-2.56%,3.47%,0.90%,43.95%,43.95%,4.41,0.45%,18.75%,10.56%,21.88,673.12,616.22,51.09,50.00%,75.00%
Tanla Platforms,623.9,2.19%,610.55,"3,61,341","8,097.00",16.9,19.14,803.95,409.35,-13.86%,3.61%,-16.75%,-18.49%,74.10%,3.58,1.99%,28.24%,27.29%,41.21,670.87,592,39.67,64.36%,80.00%
Gujarat Pipavav Port,165.28,-0.80%,168,"13,21,169","8,055.10",20.56,25.16,203,122.5,3.39%,4.17%,-15.52%,89.76%,88.03%,3.45,4.92%,14.78%,21.64%,8.51,158.2,150.97,57.7,68.08%,80.00%
Dilip Buildcon,499.1,0.80%,495,"2,24,913","8,043.50",8.28,-6.34,585,363.15,-1.01%,3.25%,2.11%,126.86%,51.38%,1.47,0.18%,-0.03%,17.06%,11.27,502.39,472.3,50.59,65.02%,80.00%
Diamond Power Infrastructure,153.93,0.89%,152.5,"9,50,142","8,040.00",211.94,25.97,183.5,81.5,1.34%,-6.90%,-2.24%,6506.44%,"1,92,312.50%",-9.15,-,-,3.49%,-,148.19,122.84,58.47,36.00%,-
Cera Sanitaryware,"6,283.00",0.91%,"6,230.00","18,095","8,030.70",32.57,20.68,"8,014.95","5,060.05",2.19%,-4.48%,-11.93%,15.38%,132.61%,5.97,1.04%,17.76%,21.33%,177.56,"6,208.81","6,238.74",60.27,68.67%,80.00%
Valor Estate,151.08,1.48%,149.47,"9,93,037","8,027.70",-88.14,-6.34,252.67,99.81,-6.69%,-16.29%,-6.43%,48.77%,2206.56%,1.64,-,-,-1.46%,-,164.12,159.75,40.11,-,-
Avalon Technologies,"1,189.70",-0.08%,"1,199.10","1,05,252","7,943.60",99.34,44.1,"1,318.00",575,12.75%,36.11%,100.76%,198.92%,198.92%,13.01,-,9.78%,15.41%,2.83,"1,035.55",857.18,60.26,50.00%,-
Kalpataru,384.45,-0.03%,384.5,"78,833","7,918.40",-298.14,-6.34,457.4,345.8,1.77%,2.32%,-11.20%,-11.20%,-11.20%,1.95,-,-,2.05%,-,386.59,-,49.95,-,75.00%
Galaxy Surfactants,"2,259.90",1.32%,"2,230.10","8,831","7,908.20",25.92,25.14,"3,114.95","2,020.55",0.56%,-11.79%,-25.96%,-20.37%,37.78%,3.34,0.18%,13.83%,16.09%,86.31,"2,276.74","2,323.40",50.91,70.41%,60.00%
Tamilnad Mercantile Bank,497.75,-0.31%,498.5,"2,29,723","7,906.50",6.51,9.4,513.55,401,17.13%,13.64%,12.41%,-0.95%,-2.33%,0.84,0.01%,14.86%,6.87%,69.35,436.59,437.11,75.24,50.00%,65.00%
Power Mech Projects,"2,496.30",0.00%,"2,506.00","53,891","7,892.10",21.53,22.37,"3,415.00","1,700.00",-9.99%,-20.59%,-15.03%,184.93%,1238.28%,3.65,0.05%,-,23.18%,-,"2,854.41","2,725.61",29.54,50.00%,70.00%
Quality Power Electrical Equipments,997.8,-2.04%,"1,023.50","2,46,467","7,888.50",78.29,34.77,"1,082.00",267.8,-3.96%,33.04%,157.23%,157.23%,157.23%,18.56,0.10%,-,18.31%,-,954.25,-,53,0.00%,65.00%
Happiest Minds Technologies,512.1,-0.67%,515.55,"1,68,247","7,850.50",40.21,19.14,795,486.6,-2.14%,-14.32%,-32.36%,-47.62%,50.93%,4.82,1.15%,16.78%,16.50%,15.18,541.07,610.84,43.8,70.37%,80.00%
MTAR Technologies,"2,464.10",-3.30%,"2,529.00","5,50,934","7,837.90",132.15,-43.57,"2,572.00","1,155.60",27.27%,70.23%,52.19%,53.22%,127.63%,10.75,-,16.68%,11.16%,13.07,"1,857.49","1,588.94",70.16,50.00%,75.00%
Triveni Engineering & Industries,358.2,0.32%,356.95,"1,46,954","7,815.80",37.33,18.94,536,313.1,2.43%,3.78%,-11.13%,35.76%,413.18%,2.51,0.70%,67.23%,10.84%,16.39,351.76,378.16,56.19,66.38%,80.00%
Sharda Cropchem,816.8,-5.54%,865,"7,66,583","7,801.40",17.25,-23.88,"1,181.00",452.25,-4.00%,-25.70%,7.13%,109.57%,207.53%,2.91,1.04%,1.43%,13.89%,16.38,880.75,741.63,41.15,50.00%,65.00%
Ethos,"2,936.00",1.16%,"2,929.00","40,938","7,766.20",83.87,42.65,"3,216.66","1,931.84",12.42%,6.29%,7.04%,210.21%,278.48%,5.57,-,9.55%,12.15%,34.02,"2,598.97","2,584.91",68.78,50.00%,70.00%
Welspun Enterprises,563.25,0.48%,560.55,"1,45,479","7,758.80",22.47,-6.34,655,400.05,5.93%,15.17%,16.69%,330.13%,646.52%,3.05,0.53%,28.98%,16.52%,24.3,517.77,509.46,59.86,50.00%,70.00%
Aarti Pharma Labs,858,0.71%,847.7,"91,822","7,722.20",28.95,54.8,971,557.05,3.76%,-3.43%,31.92%,197.66%,197.66%,3.88,0.59%,12.34%,17.23%,24.86,857.88,808.02,54.91,50.00%,75.00%
Lumax Auto Technologies,"1,156.30",2.54%,"1,138.00","1,17,816","7,686.10",31.94,80.72,"1,337.90",449,-11.23%,0.72%,125.09%,375.45%,1088.39%,8.25,0.49%,13.13%,21.29%,20.5,"1,166.59",857.83,47.57,0.00%,70.00%
Yatharth Hospital,814.1,2.24%,796.95,"3,79,792","7,672.20",53.98,32.94,843.7,345.6,9.28%,25.09%,18.68%,143.85%,143.85%,4.78,-,35.95%,10.89%,14.66,776.9,570.17,57.23,50.00%,75.00%
Prism Johnson,144.79,-4.69%,151.18,"4,76,942","7,647.00",132.22,36.01,209,105.3,-9.87%,-4.23%,-23.81%,13.29%,91.77%,5.18,-,9.85%,5.72%,-,153.86,143,38.71,65.48%,-
PC Jeweller,11.58,-0.34%,11.59,"2,54,10,988","7,640.60",13.06,39.24,19.65,10.28,-13.65%,-21.44%,-22.75%,17.68%,661.84%,1.32,-,-,8.05%,-,12.87,13.37,35.33,50.00%,70.00%
Fischer Medical Ventures,107.07,-9.04%,119.29,"23,91,334","7,633.70",379.52,42.65,124.7,77.01,-0.61%,10.00%,37.99%,37.99%,37.99%,24.55,-,-,0.76%,-,107.33,-,51.22,-,-
Thomas Cook,164.84,1.85%,160.61,"5,21,728","7,612.60",29.45,42.83,224.5,118.25,3.33%,2.50%,-13.84%,120.23%,527.96%,4.49,0.28%,13.34%,14.79%,5.56,167.53,155.24,51.99,61.26%,80.00%
Maharashtra Seamless,580.7,2.24%,570.25,"2,10,113","7,611.20",8.66,25.76,814.3,567,-3.47%,-13.87%,-6.33%,47.25%,439.68%,1.2,1.76%,16.61%,14.83%,65.23,610.49,658.67,45.75,66.60%,80.00%
Sheela Foam,725.95,3.80%,699.9,"2,88,119","7,602.70",133,25.16,"1,058.70",618.75,7.31%,2.68%,-14.42%,-48.95%,15.73%,2.51,-,6.53%,5.76%,12.09,692.81,715.19,69.12,71.53%,80.00%
Gujarat State Fertilizers & Chemicals,193.4,1.38%,190.89,"6,50,090","7,601.80",11.83,34.91,231.45,158.3,-3.02%,-4.49%,-4.09%,54.47%,196.63%,0.63,2.62%,10.51%,5.86%,13.52,200.28,196.99,46.56,67.10%,80.00%
Redtape,141.08,2.72%,137.72,"6,10,600","7,592.30",42.66,42.65,240.79,119.51,-2.36%,10.49%,-38.80%,-71.43%,-71.43%,9.63,1.64%,29.82%,25.07%,12.75,138.53,143.65,55.93,50.00%,-
IFB Industries,"1,846.00",-1.40%,"1,878.30","1,13,014","7,585.90",59.65,63.33,"2,019.80","1,060.00",6.85%,39.00%,15.68%,96.63%,164.15%,9,-,7.02%,17.13%,21.85,"1,673.09","1,455.83",56.07,50.00%,-
Atlanta Electricals,"1,020.85",3.59%,985.5,"2,51,677","7,578.20",60.68,34.77,"1,068.95",782.1,12.00%,23.99%,23.99%,23.99%,23.99%,10.1,-,-,43.12%,-,-,-,66.04,-,75.00%
ESAB India,"4,880.10",-0.62%,"4,910.60","1,697","7,558.90",43.99,16.28,"6,432.15","4,133.05",-1.82%,-7.59%,-23.03%,39.72%,270.80%,20.93,1.83%,53.25%,63.69%,107.25,"5,047.22","4,982.57",39.01,50.00%,-
Jayaswal Neco Industries,78.14,0.58%,77.86,"46,75,429","7,543.70",20.03,25.76,81.2,28,8.39%,50.38%,83.56%,222.23%,2380.63%,2.93,-,-4.41%,2.00%,2.3,68.93,46.6,62.42,11.00%,-
Max Estates,481.6,2.82%,463.7,"1,09,839","7,543.40",187.51,-6.34,630,341.1,-3.25%,4.16%,-16.82%,70.15%,70.15%,3.38,-,-3.80%,1.94%,-,462.67,465.06,56.48,50.00%,-
RateGain Travel,677.1,6.09%,640.85,"11,99,920","7,536.40",35.83,19.14,854,412.85,-4.22%,53.90%,-14.84%,131.96%,99.12%,4.47,-,9.64%,15.98%,14.07,630.03,533.16,59,50.00%,65.00%
Garware Technical Fibres,759.2,0.02%,760.3,"66,091","7,534.80",31.65,47.97,986.39,674.2,-0.01%,-14.40%,-8.68%,8.54%,96.99%,6.07,0.20%,16.94%,25.16%,106.83,773.65,829.67,43.71,50.00%,-
FDC,460.15,-0.11%,463.85,"4,11,425","7,499.80",27.87,54.8,551.5,366.25,-0.26%,-4.48%,-14.29%,48.48%,39.04%,3.29,1.09%,9.78%,15.38%,19.31,457.17,451.06,57.02,70.00%,80.00%
Voltamp Transformers,"7,465.00",0.83%,"7,429.00","34,381","7,490.20",22.99,34.77,"12,024.95","6,051.00",4.07%,-12.88%,-32.82%,164.97%,658.21%,4.71,1.35%,22.71%,27.10%,332.14,"7,409.32","7,851.75",58.53,50.00%,75.00%
Garware Hi-Tech Films,"3,458.80",1.38%,"3,408.60","23,425","7,451.80",24.36,13.58,"5,378.10","2,317.35",11.30%,3.32%,-13.35%,383.85%,307.52%,3.35,0.35%,8.95%,18.66%,106.73,"3,136.93","3,601.04",57.39,55.86%,-
MOIL,370.4,1.23%,366,"3,88,830","7,445.50",26.53,19.8,405.6,274.05,-5.44%,6.84%,14.78%,140.36%,201.02%,2.82,1.54%,8.98%,12.24%,17.65,360.94,346.8,50.39,64.67%,80.00%
Thyrocare Technologies,"1,381.30",-1.15%,"1,405.00","1,83,386","7,404.90",58.51,32.94,"1,474.00",658,17.21%,2.10%,42.32%,112.67%,21.05%,13.87,1.50%,13.17%,26.01%,14.66,"1,256.08","1,010.20",67.84,11.00%,75.00%
Gujarat Narmada Valley Fert & Chem,506.35,0.68%,500.15,"1,21,242","7,390.40",13.15,25.14,663.65,449,0.81%,-6.19%,-16.67%,-28.08%,148.82%,0.86,3.58%,16.08%,8.25%,35.86,506.74,520.64,53.6,69.14%,80.00%
Aditya Vision,595.7,3.77%,574,"4,79,546","7,385.90",68.6,42.65,587,327.6,6.39%,41.33%,34.39%,34.39%,34.39%,12.64,0.19%,-,22.86%,-,537.94,450.33,66.98,50.00%,70.00%
Network 18 Media,47.95,0.13%,47.65,"18,41,634","7,384.60",-5.97,12.08,87.23,39.66,-8.33%,-19.18%,-43.41%,-23.59%,42.71%,1.5,-,-0.34%,-25.64%,-,52.43,51.17,31.98,60.00%,70.00%
Balu Forge Industries,638.2,-1.26%,645,"7,23,501","7,367.90",32.44,21.69,867.7,428.4,-0.17%,3.36%,-12.92%,131.65%,131.65%,6.81,0.02%,-,24.75%,-,644.34,620.46,51.04,-,-
Epigral,"1,697.60",0.47%,"1,690.00","10,684","7,289.60",16.87,25.14,"2,242.55","1,502.35",-3.20%,-7.20%,-19.22%,63.49%,63.49%,3.83,0.35%,15.62%,22.35%,60.22,"1,743.98","1,797.00",45.21,63.22%,80.00%
Kirloskar Pneumatic Company,"1,119.00",0.04%,"1,128.00","36,086","7,261.20",39.03,42.69,"1,817.00",953,-8.26%,-17.50%,-30.44%,82.49%,82.49%,6.38,0.89%,10.47%,24.71%,22.88,"1,216.83","1,224.06",27.23,50.00%,70.00%
Akums Drugs & Pharma,467.65,1.50%,463.95,"70,138","7,251.90",20.91,54.8,855.65,405,4.81%,-7.43%,-44.67%,-41.27%,-41.27%,2.38,-,0.11%,11.80%,-,462.7,514.9,54.02,60.00%,80.00%
Mishra Dhatu Nigam,392.15,1.82%,387,"3,76,375","7,215.40",60.83,22.42,469,226.93,-2.18%,-1.16%,18.31%,55.89%,117.26%,5.1,0.39%,12.16%,8.36%,4.18,386.8,357.71,55.21,62.42%,80.00%
Rattan India Enterprises,51.35,-1.59%,52.3,"13,64,392","7,212.70",-26.94,10.51,74.49,37.42,-2.60%,-6.38%,-28.65%,8.22%,690.00%,7.84,-,-68.60%,13.68%,8.31,54.73,51.59,42.51,50.00%,60.00%
Raymond Lifestyle,"1,198.60",1.38%,"1,184.60","1,88,814","7,203.00",96.59,47.97,"2,304.75",911.35,2.98%,0.24%,-46.52%,-58.22%,-58.22%,0.75,-,-,2.46%,-,"1,213.23","1,188.11",49.8,60.00%,70.00%
PNC Infratech,284.95,1.60%,280.45,"1,11,320","7,194.60",10.72,-6.34,357.45,240,-3.49%,-10.01%,-8.01%,8.49%,68.16%,1.2,0.21%,15.37%,13.02%,50.83,296.49,290.31,44.15,60.00%,70.00%
CSB Bank,408.75,-1.11%,416.9,"2,76,440","7,171.00",11.94,9.4,445.6,272.75,5.96%,-3.70%,32.32%,77.99%,73.94%,1.65,-,14.90%,6.11%,31.58,381.79,358.2,56.73,70.55%,80.00%
Keystone Realtors,565.45,0.16%,561.55,"2,19,635","7,118.60",39.9,-6.34,801.05,480.05,-5.93%,-9.48%,-21.98%,1.54%,1.54%,2.61,0.26%,4.71%,9.32%,7.23,604.46,574.86,38.53,50.00%,-
Subros,"1,066.30",-1.89%,"1,082.80","97,960","7,089.80",45.32,80.72,"1,213.70",518,-0.04%,23.19%,65.94%,224.40%,280.55%,6.48,0.24%,5.53%,18.52%,18.25,"1,022.67",790.14,49.46,0.00%,60.00%
Ajax Engineering,614.6,0.18%,608,"59,742","7,018.90",28.36,-43.57,756.2,549.1,-5.77%,-3.39%,3.22%,3.22%,3.22%,6.03,-,-,29.95%,-,652.51,-,40.37,65.00%,70.00%
Ganesh Housing,838.55,0.76%,831.1,"19,409","6,939.50",12.06,-6.34,"1,485.00",806.2,-2.36%,-8.03%,-19.37%,144.40%,3329.65%,3.79,0.60%,29.72%,38.68%,49.55,854.8,"1,018.57",47.83,50.00%,70.00%
Shilpa Medicare,367.2,4.07%,357.3,"2,36,631","6,901.10",62.37,26.33,"1,000.00",277.5,-4.61%,-13.64%,-10.35%,135.99%,74.58%,2.92,0.14%,-,7.50%,-,391.8,386.9,46.75,-,-
Lloyds Engineering Works,60.46,2.68%,59.8,"49,00,823","6,860.70",65.41,-43.57,84.27,44.51,-2.25%,-14.72%,-4.80%,372.71%,10892.73%,10.79,0.36%,19.42%,21.13%,0.77,62.13,61.81,49.72,36.00%,65.00%
Axiscades Engineering Technologies,"1,573.20",-1.74%,"1,616.00","54,049","6,804.30",85.89,19.14,"1,779.20",420.9,-7.80%,22.58%,215.68%,442.76%,3584.31%,10.51,-,-,14.32%,-,"1,531.76","1,131.45",52.35,-,-
Tips Music,525.95,-0.55%,508.05,"1,99,420","6,791.80",39.01,12.08,950,500,-9.07%,-8.57%,-42.15%,181.27%,2446.97%,26.36,1.32%,70.85%,97.14%,11.24,566.33,626.26,41.81,50.00%,65.00%
Greenlam Industries,265.2,-0.03%,268,"52,018","6,768.60",207.23,25.16,312,197.42,5.04%,14.62%,-1.74%,59.57%,253.22%,6.01,0.15%,12.82%,8.69%,9.84,248.56,246.69,59.11,50.00%,-
Karnataka Bank,178.2,-0.03%,179,"2,14,23,504","6,738.80",5.79,9.4,231,162.2,2.40%,-1.19%,-17.34%,47.95%,321.28%,0.58,2.80%,14.37%,6.07%,35.39,175.39,184.52,51.52,69.88%,80.00%
Saatvik Green Energy,535.2,2.05%,525,"6,53,653","6,666.00",31.14,34.77,567,420.1,19.20%,21.44%,21.44%,21.44%,21.44%,6.42,-,-,60.45%,-,-,-,64.4,-,75.00%
Aurionpro Solutions,"1,217.40",0.84%,"1,214.90","1,85,117","6,665.40",34.3,19.14,"1,923.75","1,083.00",7.13%,-14.21%,-26.67%,543.68%,3217.17%,4.43,0.28%,19.78%,14.73%,27.64,"1,213.54","1,386.43",55.91,50.00%,70.00%
Mahindra Holidays,331.05,0.73%,342.7,"4,32,410","6,639.30",52.27,324.15,394.5,259,-6.11%,-7.00%,-11.29%,19.45%,195.50%,-24.06,-,21.76%,3.91%,6,347.59,336.71,38.95,50.00%,-
Mastek,"2,173.00",1.56%,"2,146.50","51,001","6,627.40",18.15,19.14,"3,375.00","1,887.00",-1.33%,-13.81%,-24.72%,30.81%,149.93%,2.48,1.07%,17.48%,17.14%,98.56,"2,302.95","2,378.40",47.92,66.08%,80.00%
Smartworks Coworking Spaces,594.25,2.52%,575.65,"1,97,272","6,615.60",-104.91,25.16,617.9,392.7,4.99%,40.30%,33.52%,33.52%,33.52%,11.98,-,-,7.48%,-,542.78,-,64.35,-,70.00%
Just Dial,765.3,-1.19%,772,"1,44,632","6,587.10",18.17,25.16,"1,182.80",751.8,-8.03%,-7.93%,-31.93%,20.88%,27.59%,1.64,-,9.02%,11.19%,16.4,820.16,864.4,32.97,65.51%,80.00%
V Mart Retail,833.05,0.43%,826,"35,197","6,584.80",97.88,42.65,"1,118.99",676.04,-1.15%,6.43%,-20.55%,11.67%,72.70%,8.12,-,-12.95%,14.23%,-,784.62,798.27,53.14,50.00%,70.00%
Ellenbarrie Industrial Gases,464.65,0.36%,463,"67,490","6,525.30",78.39,25.14,637.7,430.35,-0.97%,-16.47%,-13.08%,-13.08%,-13.08%,7.5,-,-,17.90%,-,492.99,-,48.62,-,70.00%
Equitas Small Finance Bank,60.76,6.62%,57.49,"93,14,360","6,499.70",-71.21,9.4,75.5,50,5.96%,6.06%,-12.08%,24.00%,84.40%,1.07,1.75%,13.39%,6.17%,5.57,55.85,61.2,62.29,68.51%,80.00%
Indian Metals & Ferro Alloys,"1,210.10",0.62%,"1,208.90","1,46,812","6,488.50",18.05,19.8,"1,265.00",549.8,3.40%,67.78%,79.89%,404.21%,852.23%,2.76,1.67%,17.50%,22.06%,73.62,"1,069.51",788.44,62.24,50.00%,70.00%
Sunteck Realty,462.95,4.63%,444.75,"11,42,208","6,481.40",36.95,-6.34,568.8,347,5.04%,20.36%,-16.06%,18.72%,69.58%,1.94,0.34%,0.05%,6.51%,4.84,428.71,421.11,62.15,50.00%,65.00%
Isgec Heavy Engineering,892,1.42%,883.05,"31,545","6,467.30",23.01,22.37,"1,675.55",842.4,-1.47%,-18.69%,-31.73%,81.89%,55.69%,2.36,0.57%,9.73%,13.99%,35.15,939.29,"1,071.88",46.45,63.61%,-
Piccadily Agro Industries,707.25,4.00%,699,"3,18,631","6,461.20",62.24,55.81,805.5,569.1,2.57%,5.20%,17.19%,17.19%,17.19%,13.49,-,-,20.09%,-,658.98,-,62.61,-,70.00%
Pricol,537.4,1.53%,529.25,"1,49,689","6,451.20",37.67,80.72,598.8,367.85,1.72%,20.87%,15.67%,189.55%,908.44%,6.35,-,16.64%,20.11%,12.65,515.46,466.93,56.3,50.00%,70.00%
